Ward: 001,,,,,,,,,,,,,,,,,,,,,,,,,
,Whole Number,DEM,REP,CON,GRE,WOR,IND,WEP,LBT,WRT,WRT,WRT,WRT,WRT,WRT,WRT,WRT,WRT,WRT,WRT,WRT,WRT,SCT,VOI,Blank Votes
,,Hillary Clinton and,Donald J Trump and,Donald J Trump and,Jill Stein and Ajamu,Hillary Clinton and,Gary E Johnson and,Hillary Clinton and,Gary Johnson and,EVAN MCMULLEN,DR. LYNN KHAN,CHRIS KENISTON,EMIDIO SOLTYSIK,TOM HOEFLING,LYNN KAHN,MICHAEL MATUREN,GLORIA LARIBA,Ben Hartnell,DARRELL CASTLE,TOM MATUREN,Willie Carter,Evan McMullen,Scatter,Void,
,,Tim Kaine,Michael R Pence,Michael R Pence,Baraka,Tim Kaine,Bill F Weld,Tim Kaine,Bill Weld,,,,,,,,,,,,,,,,
1,303,152,103,8,11,2,8,4,2,,,,,,,,,,,,,1,8,1,3
2,1087,542,308,27,28,22,21,8,7,,,,,,,,,,,,,,22,,102
3,63,32,25,3,0,1,1,0,0,,,,,,,,,,,,,,,,1
WARD TOTALS,1453,726,436,38,39,25,30,12,9,0,0,0,0,0,0,0,0,0,0,0,0,1,30,1,106
Ward: 002,,,,,,,,,,,,,,,,,,,,,,,,,
,Whole Number,DEM,REP,CON,GRE,WOR,IND,WEP,LBT,WRT,WRT,WRT,WRT,WRT,WRT,WRT,WRT,WRT,WRT,WRT,WRT,WRT,SCT,VOI,Blank Votes
,,Hillary Clinton and,Donald J Trump and,Donald J Trump and,Jill Stein and Ajamu,Hillary Clinton and,Gary E Johnson and,Hillary Clinton and,Gary Johnson and,EVAN MCMULLEN,DR. LYNN KHAN,CHRIS KENISTON,EMIDIO SOLTYSIK,TOM HOEFLING,LYNN KAHN,MICHAEL MATUREN,GLORIA LARIBA,Ben Hartnell,DARRELL CASTLE,TOM MATUREN,Willie Carter,Evan McMullen,Scatter,Void,
,,Tim Kaine,Michael R Pence,Michael R Pence,Baraka,Tim Kaine,Bill F Weld,Tim Kaine,Bill Weld,,,,,,,,,,,,,,,,
1,508,252,161,13,8,17,24,2,5,1,,,,,,,,,,,,,18,,7
2,287,167,69,5,17,5,8,5,3,,,,,,,,,,,,,,4,,4
WARD TOTALS,795,419,230,18,25,22,32,7,8,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,11
Ward: 003,,,,,,,,,,,,,,,,,,,,,,,,,
,Whole Number,DEM,REP,CON,GRE,WOR,IND,WEP,LBT,WRT,WRT,WRT,WRT,WRT,WRT,WRT,WRT,WRT,WRT,WRT,WRT,WRT,SCT,VOI,Blank Votes
,,Hillary Clinton and,Donald J Trump and,Donald J Trump and,Jill Stein and Ajamu,Hillary Clinton and,Gary E Johnson and,Hillary Clinton and,Gary Johnson and,EVAN MCMULLEN,DR. LYNN KHAN,CHRIS KENISTON,EMIDIO SOLTYSIK,TOM HOEFLING,LYNN KAHN,MICHAEL MATUREN,GLORIA LARIBA,Ben Hartnell,DARRELL CASTLE,TOM MATUREN,Willie Carter,Evan McMullen,Scatter,Void,
,,Tim Kaine,Michael R Pence,Michael R Pence,Baraka,Tim Kaine,Bill F Weld,Tim Kaine,Bill Weld,,,,,,,,,,,,,,,,
1,641,353,195,10,23,11,14,6,11,,,,,,,,,,,,,,10,,8
