,Whole Number,DEM,REP,CON,GRE,WOR,IND,WEP,LBT,WRT,WRT,WRT WRT,,WRT,WRT,WRT,WRT,WRT,WRT,WRT,WRT,WRT,SCT,VOI,Blank Votes
,,Hillary Clinton and,Donald J Trump and,Donald J Trump and,Jill Stein and Ajamu,Hillary Clinton and,Gary E Johnson and,Hillary Clinton and,Gary Johnson and,EVAN MCMULLEN,DR. LYNN KHAN,CHRIS KENISTON EMIDIO SOLTYSIK,,TOM HOEFLING,LYNN KAHN,MICHAEL,GLORIA LARIBA,Ben Hartnell,DARRELL CASTLE,TOM MATUREN,Willie Carter,Evan McMullen,Scatter,Void,
,,Tim Kaine,Michael R Pence,Michael R Pence,Baraka,Tim Kaine,Bill F Weld,Tim Kaine,Bill Weld,,,,,,,MATUREN,,,,,,,,,
1,497,244,180,17,1,12,17,2,4,3,,,,,,,,,,,,,11,,6
2,852,367,339,32,16,19,28,4,10,4,,,,,,1,,1,,,,,14,,17
3,762,381,266,20,18,15,19,5,11,2,,,,,,,,,,,,,16,,9
4,792,316,347,37,10,19,21,5,11,1,,,,,,,,,,,,,13,,12
5,492,218,186,17,13,8,18,7,5,,,,,,2,,,,,,,,11,1,6
6,1118,552,412,32,6,26,32,10,16,,,,,,1,,,,,,,2,17,,12
7,693,288,304,26,14,16,22,4,6,,,,,,,,,,,,,,5,,8
WARD TOTALS,5206,2366,2034,181,78,115,157,37,63,10,0,0 0,,0,3,1,0,1,0,0,0,2,87,1,70
