candidate,district,precinct,party,votes,city,county,office
clinton,1,1,democ,195,arcadia,wayne,president
clinton,1,2,democ,249,arcadia,wayne,president
clinton,1,3,democ,208,arcadia,wayne,president
clinton,1,4,democ,159,arcadia,wayne,president
clinton,1,5,democ,178,arcadia,wayne,president
clinton,1,6,democ,292,arcadia,wayne,president
clinton,1,7,democ,181,arcadia,wayne,president
clinton,1,8,democ,147,arcadia,wayne,president
clinton,1,9,democ,166,arcadia,wayne,president
clinton,1,10,democ,229,arcadia,wayne,president
trump,1,1,repub,418,arcadia,wayne,president
trump,1,2,repub,371,arcadia,wayne,president
trump,1,3,repub,178,arcadia,wayne,president
trump,1,4,repub,167,arcadia,wayne,president
trump,1,5,repub,184,arcadia,wayne,president
trump,1,6,repub,297,arcadia,wayne,president
trump,1,7,repub,177,arcadia,wayne,president
trump,1,8,repub,151,arcadia,wayne,president
trump,1,9,repub,166,arcadia,wayne,president
trump,1,10,repub,332,arcadia,wayne,president
trump,1,1,conse,71,arcadia,wayne,president
trump,1,2,conse,39,arcadia,wayne,president
trump,1,3,conse,21,arcadia,wayne,president
trump,1,4,conse,19,arcadia,wayne,president
trump,1,5,conse,21,arcadia,wayne,president
trump,1,6,conse,39,arcadia,wayne,president
trump,1,7,conse,27,arcadia,wayne,president
trump,1,2,conse,12,arcadia,wayne,president
trump,1,9,conse,24,arcadia,wayne,president
trump,1,10,conse,45,arcadia,wayne,president
stein,1,1,green,9,arcadia,wayne,president
stein,1,1,green,7,arcadia,wayne,president
stein,1,3,green,11,arcadia,wayne,president
stein,1,4,green,7,arcadia,wayne,president
stein,1,5,green,2,arcadia,wayne,president
stein,1,6,green,12,arcadia,wayne,president
stein,1,7,green,7,arcadia,wayne,president
stein,4,1,green,7,arcadia,wayne,president
stein,1,9,green,10,arcadia,wayne,president
stein,1,10,green,5,arcadia,wayne,president
clinton,1,1,worki,9,arcadia,wayne,president
clinton,2,1,worki,8,arcadia,wayne,president
clinton,1,3,worki,3,arcadia,wayne,president
clinton,1,4,worki,7,arcadia,wayne,president
clinton,1,5,worki,7,arcadia,wayne,president
clinton,1,6,worki,12,arcadia,wayne,president
clinton,1,7,worki,3,arcadia,wayne,president
clinton,1,8,worki,5,arcadia,wayne,president
clinton,1,9,worki,6,arcadia,wayne,president
clinton,1,10,worki,8,arcadia,wayne,president
johnson,1,1,indep,38,arcadia,wayne,president
johnson,1,2,indep,36,arcadia,wayne,president
johnson,1,3,indep,21,arcadia,wayne,president
johnson,1,4,indep,14,arcadia,wayne,president
johnson,1,5,indep,13,arcadia,wayne,president
johnson,1,6,indep,23,arcadia,wayne,president
johnson,1,7,indep,21,arcadia,wayne,president
johnson,1,8,indep,9,arcadia,wayne,president
johnson,1,9,indep,18,arcadia,wayne,president
johnson,1,10,indep,23,arcadia,wayne,president
clinton,1,1,wome,1,arcadia,wayne,president
clinton,1,2,wome,0,arcadia,wayne,president
clinton,1,3,wome,8,arcadia,wayne,president
clinton,1,4,wome,0,arcadia,wayne,president
clinton,1,5,wome,1,arcadia,wayne,president
clinton,1,6,wome,0,arcadia,wayne,president
clinton,1,7,wome,4,arcadia,wayne,president
clinton,1,8,wome,2,arcadia,wayne,president
clinton,1,9,wome,2,arcadia,wayne,president
clinton,1,10,wome,5,arcadia,wayne,president
johnson,1,1,libert,9,arcadia,wayne,president
johnson,2,2,libert,6,arcadia,wayne,president
johnson,1,3,libert,4,arcadia,wayne,president
johnson,1,4,libert,2,arcadia,wayne,president
johnson,1,5,libert,8,arcadia,wayne,president
johnson,1,6,libert,7,arcadia,wayne,president
johnson,1,7,libert,5,arcadia,wayne,president
johnson,1,8,libert,0,arcadia,wayne,president
johnson,1,9,libert,4,arcadia,wayne,president
johnson,1,10,libert,3,arcadia,wayne,president
buchanan,1,1,no party,0,arcadia,wayne,president
buchanan,1,2,no party,0,arcadia,wayne,president
buchanan,1,3,no party,0,arcadia,wayne,president
buchanan,1,4,no party,0,arcadia,wayne,president
buchanan,1,5,no party,0,arcadia,wayne,president
buchanan,1,6,no party,0,arcadia,wayne,president
buchanan,1,7,no party,0,arcadia,wayne,president
buchanan,1,8,no party,0,arcadia,wayne,president
