Name Party,Code,C,Vote Count 1 2,Ab/Aff/Spec/Fed,Total Voters,Total,H,I,J,K,
SCHUMER DEMOC,1/2/2017,,177,115 38,,,,,,330,
SCHUMER DEMOC,1/3/2017,,212,0 17,,,,,,229,
SCHUMER DEMOC,1/4/2017,,178,0 20,,,,,,198,
SCHUMER DEMOC,1/5/2017,,197,0 20,,,,,,217,
SCHUMER DEMOC,1/6/2017,,312,0 32,,,,,,344,
SCHUMER DEMOC,1/7/2017,,193,0 23,,,,,,216,
SCHUMER DEMOC,1/8/2017,,75,73 11,,,,,,159,
SCHUMER DEMOC,1/9/2017,,186,0 14,,,,,,200,
SCHUMER DEMOC,1/10/2017,,236,0 47,,,,,,283,
,Arcadia,,2,036,188 238,,,,,,2,462,
SCHUMER DEMOC,2/1/2017,,178,0 13,,,,,,191,
,Butler,,178,0 13,,,,,,191,
SCHUMER DEMOC,3/1/2017,,92,60 22,,,,,,174,
SCHUMER DEMOC,3/2/2017,,82,52 20,,,,,,154,
SCHUMER DEMOC,3/3/2017,,106,70 22,,,,,,198,
SCHUMER DEMOC,3/4/2017,,107,79 10,,,,,,196,
,Galen,,387,261 74,,,,,,722,
SCHUMER DEMOC,4/1/2017,,169,0 9,,,,,,178,
SCHUMER DEMOC,4/2/2017,,187,0 14,,,,,,201,
Name,Party,Code,,Vote Count 1,2,Ab/Aff/Spec/Fed,Total Voters,Total,,,
,,Huron,,356,0,23,,379,,,
SCHUMER,DEMOC,5/1/2017,,162,0,27,,189,,,
SCHUMER,DEMOC,5/2/2017,,149,0,13,,162,,,
SCHUMER,DEMOC,5/3/2017,,212,0,18,,230,,,
SCHUMER,DEMOC,5/4/2017,,190,0,16,,206,,,
SCHUMER,DEMOC,5/5/2017,,130,0,8,,138,,,
,,Lyons,,843,0,82,,925,,,
SCHUMER,DEMOC,6/1/2017,,120,228,18,,366,,,
SCHUMER,DEMOC,6/2/2017,,221,276,30,,527,,,
SCHUMER,DEMOC,6/3/2017,,239,123,40,,402,,,
SCHUMER,DEMOC,6/4/2017,,149,88,15,,252,,,
SCHUMER,DEMOC,6/5/2017,,311,0,7,,318,,,
,,Macedon,,1,040,715,110,,1,865,,,
SCHUMER,DEMOC,7/1/2017,,153,0,10,,163,,,
SCHUMER,DEMOC,7/2/2017,,163,0,4,,167,,,
SCHUMER,DEMOC,7/3/2017,,239,0,14,,253,,,
SCHUMER,DEMOC,7/4/2017,,172,0,9,,181,,,
,,Marion,,727,0,37,,764,,,
SCHUMER,DEMOC,8/1/2017,,84,162,7,,253,,,
SCHUMER,DEMOC,8/2/2017,,444,3,29,,476,,,
SCHUMER,DEMOC,8/3/2017,,380,0,16,,396,,,
SCHUMER,DEMOC,8/4/2017,,170,0,14,,184,,,
SCHUMER,DEMOC,8/5/2017,,270,0,11,,281,,,
SCHUMER,DEMOC,8/6/2017,,249,167,29,,445,,,
,,Ontario,,1,597,332,106,,2,035,,,
SCHUMER,DEMOC,9/1/2017,,90,118,15,,223,,,
