Name Party,Code,,Vote Count 1 2,Ab/Aff/Spec/Fed,Total Voters,Total
County Election,,,,,,
Column 01,,,,,,
Pos A01 PRESIDENT/VICE PRESIDENT,,,* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *,,,
CLINTON/KAINE DEMOC,01,01,182 0,13,,195
CLINTON/KAINE DEMOC,01,02,126 92,31,,249
CLINTON/KAINE DEMOC,01,03,193 0,15,,208
CLINTON/KAINE DEMOC,01,04,144 0,15,,159
CLINTON/KAINE DEMOC,01,05,161 0,17,,178
CLINTON/KAINE DEMOC,01,06,267 0,25,,292
CLINTON/KAINE DEMOC,01,07,162 0,19,,181
CLINTON/KAINE DEMOC,01,08,73 63,11,,147
CLINTON/KAINE DEMOC,01,09,152 0,14,,166
CLINTON/KAINE DEMOC,01,10,194 0,35,,229
"",Arcadia,,"1,654 155",195,,"2,004"
CLINTON/KAINE DEMOC,02,01,131 0,10,,141
"",,Butler,131 0,10,,141
CLINTON/KAINE DEMOC,03,01,62 41,17,,120
CLINTON/KAINE DEMOC,03,02,57 32,14,,103
CLINTON/KAINE DEMOC,03,03,82 55,16,,153
CLINTON/KAINE DEMOC,03,04,76 62,6,,144
"",,Galen,277 190,53,,520
CLINTON/KAINE DEMOC,04,01,125 0,7,,132
CLINTON/KAINE DEMOC,04,02,146 0,13,,159
"",,Huron,271 0,20,,291
CLINTON/KAINE DEMOC,05,01,121 0,20,,141
Name,Party,Code,,Vote Count 1,2,Ab/Aff/Spec/Fed,Total Voters,Total
CLINTON/KAINE,DEMOC,05 02,,117,0,10,,127
CLINTON/KAINE,DEMOC,05 03,,162,0,19,,181
CLINTON/KAINE,DEMOC,05 04,,158,0,13,,171
CLINTON/KAINE,DEMOC,05 05,,74,0,9,,83
"",,Lyons,,632,0,71,,703
CLINTON/KAINE,DEMOC,06 01,,106,185,18,,309
CLINTON/KAINE,DEMOC,06 02,,176,217,22,,415
CLINTON/KAINE,DEMOC,06 03,,176,88,33,,297
CLINTON/KAINE,DEMOC,06 04,,124,62,13,,199
CLINTON/KAINE,DEMOC,06 05,,244,0,10,,254
"",,Macedon,,826,552,96,,"1,474"
CLINTON/KAINE,DEMOC,07 01,,119,0,8,,127
CLINTON/KAINE,DEMOC,07 02,,105,0,6,,111
CLINTON/KAINE,DEMOC,07 03,,162,0,10,,172
CLINTON/KAINE,DEMOC,07 04,,119,0,6,,125
"",,Marion,,505,0,30,,535
CLINTON/KAINE,DEMOC,08 01,,66,105,5,,176
CLINTON/KAINE,DEMOC,08 02,,356,1,29,,386
CLINTON/KAINE,DEMOC,08 03,,286,0,13,,299
CLINTON/KAINE,DEMOC,08 04,,121,0,13,,134
CLINTON/KAINE,DEMOC,08 05,,202,0,11,,213
CLINTON/KAINE,DEMOC,08 06,,189,136,24,,349
"",,Ontario,,"1,220",242,95,,"1,557"
CLINTON/KAINE,DEMOC,09 01,,68,92,12,,172
CLINTON/KAINE,DEMOC,09 02,,79,96,12,,187
CLINTON/KAINE,DEMOC,09 03,,66,77,14,,157
CLINTON/KAINE,DEMOC,09 04,,83,88,12,,183
CLINTON/KAINE,DEMOC,09 05,,171,0,5,,176
Name,Party,Code,,Vote Count 1,2,Ab/Aff/Spec/Fed,Total Voters,Total
CLINTON/KAINE,DEMOC,09 06,,51,69,14,,134
"",,Palmyra,,518,422,69,,"1,009"
CLINTON/KAINE,DEMOC,10 01,,131,0,4,,135
CLINTON/KAINE,DEMOC,10 02,,121,0,13,,134
"",,Rose,,252,0,17,,269
CLINTON/KAINE,DEMOC,11 01,,72,0,4,,76
CLINTON/KAINE,DEMOC,11 02,,91,0,5,,96
"",,Savannah,,163,0,9,,172
CLINTON/KAINE,DEMOC,12 01,,153,0,21,,174
CLINTON/KAINE,DEMOC,12 02,,55,98,11,,164
CLINTON/KAINE,DEMOC,12 03,,42,87,7,,136
CLINTON/KAINE,DEMOC,12 04,,173,0,11,,184
CLINTON/KAINE,DEMOC,12 05,,105,90,13,,208
CLINTON/KAINE,DEMOC,12 06,,94,71,17,,182
"",,Sodus,,622,346,80,,"1,048"
